iter	Logloss
0	0.6781148915
1	0.6637076896
2	0.6493052356
3	0.6370924374
4	0.6242533959
5	0.6125979387
6	0.6004057257
7	0.5875333195
8	0.5755205373
9	0.5648892377
10	0.5535550777
11	0.5427606297
12	0.5317654296
13	0.5223468726
14	0.5127617759
15	0.503699124
16	0.4945787713
17	0.4846412951
18	0.4760261936
19	0.4675088924
20	0.4597376933
21	0.4514172431
22	0.4445171309
23	0.4380902633
24	0.4305272529
25	0.4237165099
26	0.4165636441
27	0.4101275075
28	0.4037984555
29	0.3975456939
30	0.3912510546
31	0.3854119927
32	0.3793178456
33	0.3732836885
34	0.3682105691
35	0.362179046
36	0.3566894253
37	0.3519453571
38	0.3467158186
39	0.3412831165
40	0.336349188
41	0.3315552585
42	0.3272041948
43	0.3226770681
44	0.3188572721
45	0.3145173129
46	0.309944981
47	0.3057725137
48	0.3020842698
49	0.2984424324
50	0.2951900188
51	0.2917729488
52	0.288379087
53	0.2853335102
54	0.2824111984
55	0.279827666
56	0.2768856491
57	0.273654327
58	0.2711204585
59	0.2681422907
60	0.2659335765
61	0.2624534112
62	0.2602842143
63	0.2582874145
64	0.2561146792
65	0.2536678666
66	0.2516722405
67	0.2493693645
68	0.247196141
69	0.2450181022
70	0.2433304772
71	0.2409970614
72	0.2391367442
73	0.2373934997
74	0.2350934045
75	0.2333749161
76	0.2312527605
77	0.2294645427
78	0.2281255854
79	0.2262202689
80	0.2243253427
81	0.2228435226
82	0.2214112049
83	0.21981726
84	0.2184726245
85	0.2171188656
86	0.2161705218
87	0.2146586297
88	0.2128158513
89	0.2113685125
90	0.2099577503
91	0.2085821589
92	0.2073991864
93	0.2063801126
94	0.205094462
95	0.2037587467
96	0.2025704299
97	0.2015966484
98	0.2005339552
99	0.1996864958
100	0.1985376169
101	0.1974041743
102	0.1963041743
103	0.1954163552
104	0.1943460582
105	0.1936286638
106	0.1927575545
107	0.1920662824
108	0.1913897727
109	0.1901563144
110	0.1889652029
111	0.1883248679
112	0.1872742158
113	0.1864087758
114	0.1856904801
115	0.1847659613
116	0.1837648708
117	0.182878113
118	0.1825388776
119	0.1819561255
120	0.1812397315
121	0.1805933491
122	0.1798901681
123	0.1792224435
124	0.1787253373
125	0.1778840543
126	0.1771045249
127	0.1766787551
128	0.1761180581
129	0.1756329358
130	0.1749816342
131	0.1745223412
132	0.1739813197
133	0.173488823
134	0.1727970565
135	0.1720766437
136	0.1715613477
137	0.1708372093
138	0.1702604657
139	0.169887519
140	0.1695786211
141	0.1691543476
142	0.1687969656
143	0.1683210245
144	0.1677271036
145	0.1674168235
146	0.167091507
147	0.1666793046
148	0.1662942636
149	0.1658708035
150	0.1655670006
151	0.1652149268
152	0.1646515243
153	0.1642245265
154	0.1636449681
155	0.1631797372
156	0.1628718872
157	0.1625924929
158	0.1622306014
159	0.161947545
160	0.1615449974
161	0.1611271412
162	0.1607461755
163	0.1603511054
164	0.159943094
165	0.1595341398
166	0.1592733557
167	0.1588505316
168	0.1585721611
169	0.1581411452
170	0.157715078
171	0.1574850699
172	0.1572083198
173	0.1568151445
174	0.1564833396
175	0.1562888411
176	0.1560585381
177	0.1556768627
178	0.1553733561
179	0.155172632
180	0.15508609
181	0.1548389379
182	0.1544864519
183	0.1541880693
184	0.1538946322
185	0.1536085159
186	0.1533526037
187	0.153007767
188	0.1527686775
189	0.1524896398
190	0.1523258709
191	0.1521042951
192	0.15193928
193	0.1517176458
194	0.151489914
195	0.1512459511
196	0.1510581343
197	0.1508238003
198	0.1505826175
199	0.1503989671
200	0.1502052568
201	0.1499543632
202	0.1497663956
203	0.1496016819
204	0.1493930145
205	0.1492110931
206	0.1490926374
207	0.148854871
208	0.1487363432
209	0.1485315363
210	0.1483517752
211	0.1482210323
212	0.1479805136
213	0.1478491527
214	0.1477105761
215	0.1476197793
